Marker coordinates: x=218, y=193
Marker coordinates: x=223, y=215
Marker coordinates: x=223, y=215
Marker coordinates: x=213, y=178
Marker coordinates: x=211, y=215
Marker coordinates: x=211, y=215
Marker coordinates: x=219, y=234
Marker coordinates: x=219, y=234
Marker coordinates: x=265, y=239
Marker coordinates: x=265, y=239
Marker coordinates: x=212, y=194
Marker coordinates: x=212, y=194
Marker coordinates: x=204, y=219
Marker coordinates: x=204, y=219
Marker coordinates: x=218, y=195
Marker coordinates: x=204, y=222
Marker coordinates: x=204, y=222
Marker coordinates: x=227, y=205
Marker coordinates: x=227, y=205
Marker coordinates: x=224, y=179
Marker coordinates: x=224, y=179
Marker coordinates: x=218, y=227
Marker coordinates: x=218, y=227
Marker coordinates: x=229, y=235
Marker coordinates: x=229, y=235
Marker coordinates: x=242, y=216
Marker coordinates: x=244, y=182
Marker coordinates: x=244, y=182
Marker coordinates: x=249, y=200
Marker coordinates: x=249, y=200
Marker coordinates: x=263, y=180
Marker coordinates: x=263, y=180
Marker coordinates: x=268, y=197
Marker coordinates: x=255, y=159
Marker coordinates: x=255, y=159
Marker coordinates: x=339, y=182
Marker coordinates: x=339, y=182
Marker coordinates: x=332, y=202
Marker coordinates: x=332, y=202
Marker coordinates: x=385, y=207
Marker coordinates: x=385, y=207
Marker coordinates: x=462, y=220
Marker coordinates: x=462, y=220
Marker coordinates: x=461, y=229
Marker coordinates: x=419, y=230
Marker coordinates: x=419, y=230
Marker coordinates: x=425, y=224
Marker coordinates: x=425, y=224
Marker coordinates: x=428, y=223
Marker coordinates: x=428, y=223
Marker coordinates: x=456, y=236
Marker coordinates: x=456, y=236
Marker coordinates: x=461, y=227
Marker coordinates: x=437, y=227
Marker coordinates: x=437, y=227
Marker coordinates: x=456, y=217
Marker coordinates: x=456, y=217
Marker coordinates: x=448, y=219
Marker coordinates: x=448, y=219
Marker coordinates: x=467, y=229
Marker coordinates: x=455, y=234
Marker coordinates: x=455, y=234
Marker coordinates: x=467, y=225
Marker coordinates: x=467, y=225
Marker coordinates: x=466, y=225
Marker coordinates: x=466, y=225
Marker coordinates: x=423, y=228
Marker coordinates: x=376, y=215
Marker coordinates: x=376, y=215
Marker coordinates: x=426, y=219
Marker coordinates: x=426, y=219
Marker coordinates: x=534, y=200
Marker coordinates: x=534, y=200
Marker coordinates: x=513, y=204
Marker coordinates: x=513, y=204
Marker coordinates: x=498, y=190
Marker coordinates: x=498, y=190
Marker coordinates: x=531, y=110
Marker coordinates: x=531, y=110
Marker coordinates: x=426, y=236
Marker coordinates: x=426, y=236
Marker coordinates: x=164, y=193
Marker coordinates: x=164, y=193
Marker coordinates: x=440, y=308
Marker coordinates: x=440, y=308
Marker coordinates: x=444, y=293
Marker coordinates: x=444, y=293
Marker coordinates: x=450, y=268
Marker coordinates: x=450, y=268
Marker coordinates: x=440, y=279
Marker coordinates: x=440, y=279
Marker coordinates: x=281, y=241
Marker coordinates: x=451, y=225
Marker coordinates: x=279, y=306
Marker coordinates: x=279, y=306
Marker coordinates: x=292, y=271
Marker coordinates: x=292, y=271
Marker coordinates: x=321, y=282
Marker coordinates: x=321, y=282
Marker coordinates: x=333, y=290
Marker coordinates: x=333, y=290
Marker coordinates: x=308, y=279
Marker coordinates: x=276, y=266
Marker coordinates: x=276, y=266
Marker coordinates: x=282, y=272
Marker coordinates: x=282, y=272
Marker coordinates: x=308, y=269
Marker coordinates: x=308, y=269
Marker coordinates: x=300, y=306
Marker coordinates: x=369, y=296
Marker coordinates: x=369, y=296
Marker coordinates: x=395, y=196
Marker coordinates: x=395, y=196
Marker coordinates: x=352, y=241
Marker coordinates: x=352, y=241
Marker coordinates: x=360, y=231
Marker coordinates: x=319, y=274
Marker coordinates: x=319, y=274
Marker coordinates: x=368, y=273
Marker coordinates: x=368, y=273
Marker coordinates: x=318, y=259
Marker coordinates: x=318, y=259
Marker coordinates: x=266, y=244
Marker coordinates: x=266, y=244
Marker coordinates: x=284, y=230
Marker coordinates: x=284, y=230
Marker coordinates: x=270, y=261
Marker coordinates: x=270, y=261
Marker coordinates: x=271, y=265
Marker coordinates: x=260, y=285
Marker coordinates: x=260, y=285
Marker coordinates: x=244, y=198
Marker coordinates: x=244, y=198
Marker coordinates: x=277, y=184
Marker coordinates: x=277, y=184
Marker coordinates: x=247, y=207
Marker coordinates: x=256, y=256
Marker coordinates: x=256, y=256
Marker coordinates: x=233, y=171
Marker coordinates: x=233, y=171
